population_group_id,population_group_name,measure_id,measure_name,location_id,location_name,sex_id,sex_name,age_id,age_name,metric_id,metric_name,year,val,upper,lower
1,All Population,44,Population,20,Vietnam,2,Female,6,5-9 years,1,Number,1991,4518133.442523375,4896121.618509929,4160083.553288885
1,All Population,44,Population,20,Vietnam,3,Both,6,5-9 years,1,Number,1991,9247405.97332816,10021046.27433558,8514573.991586758
1,All Population,44,Population,20,Vietnam,1,Male,6,5-9 years,1,Number,1992,4791918.353778627,5192015.001207035,4386338.235479312
1,All Population,44,Population,20,Vietnam,2,Female,6,5-9 years,1,Number,1992,4571041.616708824,4952696.371877764,4184156.1435467103
1,All Population,44,Population,20,Vietnam,3,Both,6,5-9 years,1,Number,1992,9362959.97048745,10144711.3730848,8570494.379026022
1,All Population,44,Population,20,Vietnam,1,Male,6,5-9 years,1,Number,1993,4851559.426405816,5293399.038277936,4408596.84916272
1,All Population,44,Population,20,Vietnam,2,Female,6,5-9 years,1,Number,1993,4619560.201968253,5040271.257376196,4197779.880850049
1,All Population,44,Population,20,Vietnam,3,Both,6,5-9 years,1,Number,1993,9471119.62837407,10333670.295654137,8606376.730012769
1,All Population,44,Population,20,Vietnam,1,Male,6,5-9 years,1,Number,1994,4904977.580587025,5419989.959442064,4408293.816441223
1,All Population,44,Population,20,Vietnam,2,Female,6,5-9 years,1,Number,1994,4662877.908664389,5152470.328730956,4190709.44033256
1,All Population,44,Population,20,Vietnam,3,Both,6,5-9 years,1,Number,1994,9567855.489251414,10572460.288173022,8599003.256773785
1,All Population,44,Population,20,Vietnam,1,Male,6,5-9 years,1,Number,1995,4949600.776710313,5399647.234193252,4466244.532573737
1,All Population,44,Population,20,Vietnam,2,Female,6,5-9 years,1,Number,1995,4701144.550722829,5128599.924724573,4242051.448937195
1,All Population,44,Population,20,Vietnam,3,Both,6,5-9 years,1,Number,1995,9650745.327433145,10528247.158917826,8708295.98151093
1,All Population,44,Population,20,Vietnam,1,Male,6,5-9 years,1,Number,1996,4975247.624152136,5398455.102393078,4557402.896100551
1,All Population,44,Population,20,Vietnam,2,Female,6,5-9 years,1,Number,1996,4723168.763983762,5124933.76000295,4326494.805857938
1,All Population,44,Population,20,Vietnam,3,Both,6,5-9 years,1,Number,1996,9698416.3881359,10523388.862396026,8883897.701958489
1,All Population,44,Population,20,Vietnam,1,Male,6,5-9 years,1,Number,1997,4968776.037832193,5380944.168967562,4555406.737066179
1,All Population,44,Population,20,Vietnam,2,Female,6,5-9 years,1,Number,1997,4715463.537712232,5106618.981020113,4323168.161440421
1,All Population,44,Population,20,Vietnam,3,Both,6,5-9 years,1,Number,1997,9684239.575544426,10487563.149987675,8878574.8985066
1,All Population,44,Population,20,Vietnam,1,Male,6,5-9 years,1,Number,1998,4918644.629347755,5277123.461780286,4569912.330419683
1,All Population,44,Population,20,Vietnam,2,Female,6,5-9 years,1,Number,1998,4666554.778929302,5006660.892441076,4335695.670625395
